,1800,1820,1840,1860,1880,1900,1920,1940,1960,1980,2000,2020
Jordan,207914.95,226283.75,252177.65,260114.25,265361.1,274862.05,290529.9,516515.6,1614386.1,3631360.75,7362985.75,10236081.0
Kazakhstan,2041469.3,2230354.9,2674858.7,3196367.05,3816855.15,4557863.65,5460758.9,7077235.15,12727764.35,15304569.5,16795890.2,18885832.5
Kenya,2707889.0,3009965.7,3350412.2,3701012.35,3880477.6,4114948.15,4476236.55,6201946.55,11423425.6,23477392.05,41772129.85,54378501.0
Kiribati,17876.85,18724.6,20600.6,22562.65,24690.25,27018.5,29681.8,34124.75,50299.7,70800.25,101106.55,120417.0
Kuwait,81280.0,81280.0,81326.85,82833.3,92312.15,105182.8,123978.1,163361.2,732378.7,1766272.4,3012086.3,4299558.0
Kyrgyzstan,530391.65,579465.8,695202.4,832933.7,997659.3,1194977.55,1433324.0,1770845.95,2894025.1,4268715.15,5499101.95,6576269.0
Laos,470044.75,515283.25,620710.85,757385.75,912392.85,1059351.35,1257704.45,1643347.2,2673659.3,4216397.65,6209831.95,7327457.0
Latvia,590684.8,692844.25,958219.65,1322736.7,1764179.35,1898430.1,1944360.4,2076995.95,2245620.3,2404307.5,2550471.65,2664195.0
Lebanon,314941.75,355876.15,410618.65,464738.3,483778.45,620379.5,912547.1,1360063.15,2276017.25,3007312.5,5315253.4,6857558.5
Lesotho,188772.55,211591.35,237438.9,265751.45,276989.25,332608.4,476007.3,699456.95,1035398.7,1687237.4,2033081.6,2150659.5
Liberia,313547.0,318721.85,333768.3,381774.2,453360.45,537773.85,670269.45,923738.95,1410784.3,2122881.2,3829047.0,5118942.5
Libya,231790.1,244909.15,272927.75,335295.3,436905.15,590697.55,757316.6,1110242.6,2159449.75,4337702.15,6093820.5,6914912.5
Liechtenstein,5802.4,6214.45,7164.45,8280.45,9574.15,11111.35,12285.05,14004.35,20901.8,28938.3,35863.1,38195.5
Lithuania,778770.1,898959.15,1205058.8,1617439.4,2139078.05,2401505.8,2512831.0,2691922.5,2925027.0,3276058.8,3571244.75,3696743.0
Luxembourg,127067.55,159910.0,191272.25,202165.4,215889.25,254505.95,289359.85,302019.45,339709.55,387073.35,510625.1,630395.0
Macao,194098.2,261743.25,429253.75,603164.1666666666,,,,,,,,
Madagascar,1585356.7,1947018.85,2503423.9,2651999.4,2732997.05,2835322.65,3037742.95,4101813.85,6599067.45,11644683.55,21040753.85,28059176.0
Malawi,910759.6,1399026.0,1875892.95,2019347.0,2118413.9,2140607.2,2219908.55,2962861.2,4721283.2,8670251.6,14540661.75,19388818.0
Malaysia,287059.3,351335.1,527531.55,813548.45,1535920.15,2701138.8,4140967.35,6251545.9,10718154.9,17899499.05,27769300.25,32571096.5
Maldives,42380.5,44854.0,50302.9,55366.8,60701.1,65035.3,71000.65,78453.75,117720.55,218281.75,381024.05,542081.0
Mali,1403429.95,1434320.15,1521060.5,1758961.15,2108538.15,2687235.85,3470802.05,4622122.6,5990493.55,8607394.6,14954599.45,20553279.0
Malta,134080.0,141986.6,159919.35,180381.6,203506.2,225314.25,244613.95,301391.65,321262.25,360346.4,416480.55,442164.5
Marshall Islands,5829.35,7322.75,11496.2,14585.9,18288.65,23769.6,30824.55,40392.7,49695.7,55965.25,65416.35,76871.0
Martinique,179431.55,299423.05,342048.15,381095.55,396869.4285714286,,,,,,,
Mauritania,295391.95,309837.6,329095.75,353595.5,379224.65,388648.8,469209.75,660753.15,1145402.65,2023602.45,3495229.9,4712385.0
Mauritius,74708.9,96473.7,190320.55,334600.95,370516.4,375686.4,399402.6,508378.25,814209.15,1063840.35,1238038.65,1272597.5
Mayotte,4259.75,30192.15,74252.7,176691.2,259633.14285714287,,,,,,,
Mexico,5770967.95,6587800.05,7739709.25,9317820.6,11643408.9,14346094.05,16943076.75,27731930.2,51201678.2,82975255.55,113223693.85,129597486.5
Micronesia (country),16416.8,17195.25,18948.4,21002.95,23303.0,25851.65,28546.9,34072.75,58059.2,93098.65,108167.0,115638.0
Moldova,712623.4,778558.4,934048.05,1118997.25,1340155.75,1605045.8,1925108.2,2407618.0,3548489.8,4075563.4,4259769.6,4375928.5
Monaco,7789.95,8758.1,11166.65,14485.2,18474.55,21239.65,23358.9,24392.15,26116.25,29481.2,35542.6,39382.0
Mongolia,608976.3,628049.8,647282.65,665789.85,684947.9,715149.3,743796.0,807222.65,1276834.7,2096442.15,2745551.8,3303787.0
Montenegro,126601.9,147531.3,201383.85,274092.95,367652.8,416552.3,450185.1,485021.3,534484.85,610102.85,623108.85,628056.5
Montserrat,4854.6,9164.3,11375.4,12353.1,14183.57142857143,,,,,,,
Morocco,2588600.7,2738115.55,2899831.0,3466250.05,4230226.65,5326748.95,6535730.75,9307394.1,15845987.1,24467729.5,32365492.75,37127672.5
Mozambique,2045762.25,2754108.3,3835355.65,4167193.95,4452165.95,4579545.8,4731885.2,5939952.2,9034588.65,13803579.25,23508497.2,31709240.0
Myanmar,3627422.2,3818729.5,3992642.5,4421570.85,6942205.65,10776402.9,13300710.95,17861810.35,27189930.3,40631959.95,50520672.45,54607904.0
Namibia,125043.4,140843.4,158806.85,179051.5,202588.8,242583.45,346052.35,513682.4,820574.45,1402151.8,2114643.3,2564130.0
Nauru,1834.0,1849.25,1880.95,1909.5,1937.7,1967.25,2684.1,3470.45,6336.95,9151.8,10400.0,10853.5
Nepal,3924239.95,4045362.65,4339429.45,4653026.45,5030927.9,5337953.65,5421686.4,7998131.55,12115960.1,18973893.4,26436993.75,29405864.0
Netherlands,2097870.7,2604735.65,3087120.25,3617612.15,4512761.55,5870163.1,7757381.25,10003875.5,12873408.9,14950301.45,16604898.2,17153983.5
Netherlands Antilles,83172.35,305047.77777777775,,,,,,,,,,
New Caledonia,53996.65,91571.1,156665.4,233081.85,279837.4285714286,,,,,,,
New Zealand,81804.75,102229.5,141377.1,296595.8,652323.45,1016041.3,1446937.25,1930829.55,2806025.45,3440190.2,4341682.75,4841437.5
Nicaragua,186029.9,217486.25,293291.5,358794.35,468549.0,637948.9,825813.95,1302858.25,2409143.55,4138461.85,5794220.3,6663466.5
Niger,854517.1,899473.55,993089.0,1094052.4,1231830.05,1475349.75,1870891.55,2617421.35,4501951.7,8115906.25,16592978.2,24668723.0
Nigeria,12101313.95,12543935.6,13572033.35,15169125.95,17501139.65,20921885.5,27070486.5,37571661.85,56370574.05,94820332.7,158367497.55,208770145.5
Niue,1643.05,2348.85,4281.65,5054.916666666667,,,,,,,,
North America,16996690.0,25083613.1,39053917.75,60272715.15,88903702.25,126986934.25,169011309.4,226428503.7,323380933.95,425453019.8,538396405.55,594321801.0
North Korea,4345032.6,4376236.6,4459998.3,4679343.75,5024163.05,5599544.5,7591007.65,10027729.6,14270784.25,20176550.9,24435488.65,25832930.0
North Macedonia,391899.5,426605.8,508598.95,609655.15,731405.2,877381.6,1048077.85,1284239.3,1694723.9,1983382.8,2067062.95,2083419.0
